Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,19782,190,150,285,327,552,137,5148,0.000%,65.90902,50.03,15.45
Create Booking,19776,1432,1369,2227,2408,2951,278,8216,0.000%,65.34907,60.71,33.26
Get All Booking,300,2521,2313,3704,3895,4320,1480,4803,0.000%,52.34689,1802.83,11.20
Update,19659,2948,2582,4178,4474,19764,404,38017,1.750%,61.99055,57.98,17.78
TOTAL,59517,1525,1197,3268,3989,4820,137,38017,0.578%,186.02550,194.12,63.78
