Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,19782,190,137,5148,176.33,0.000%,65.90902,50.03,15.45,777.3
Create Booking,19776,1432,278,8216,611.30,0.000%,65.34907,60.71,33.26,951.3
Get All Booking,300,2521,1480,4803,771.49,0.000%,52.34689,1802.83,11.20,35266.6
Update,19659,2948,404,38017,2805.19,1.750%,61.99055,57.98,17.78,957.8
TOTAL,59517,1525,137,38017,2001.49,0.578%,186.02550,194.12,63.78,1068.6
